push,push,pull,push,pull,push,push,push,pull,pull,pull,pull,pull,push,pull,push,push,push,pull,pull,push,pull,push,push,pull,push,pull,push,pull,push,push,pull,pull,push,pull,pull,pull,pull,pull,pull,pull,push,push,pull,push,pull,push,pull,pull,push,push,push,pull,push,push,push,pull,pull,push,push,push,pull,pull,pull,pull,pull,push,pull,push,push,pull,pull,pull,pull,pull,pull,push,pull,push,pull,pull,push,push,push,push,push,push,push,push,pull,pull,pull,pull,push,pull,pull,pull,pull,push,push,pull,pull,pull,push,push,pull,push,pull,pull,push,pull,push,push,pull,pull,pull,push,push,push,push,pull,pull
push,pull,pull,pull,pull,push,pull,pull,push,pull,pull,push,pull,pull,pull,pull,push,push,push,pull,push,pull,pull,push,pull,push,push,push,push,push,pull,push,pull,push,pull,pull,pull,pull,push,pull,push,pull,pull,pull,push,pull,push,push,push,pull,push,pull,pull,push,push,pull,push,push,pull,push,pull,pull,pull,push,push,push,push,push,push,pull,pull,push,pull,pull,pull,push,push,pull,push,push,pull,push,push,pull,push,pull,push,pull,pull,push,push,push,pull,push,pull,push,pull,pull,pull,push,push,pull,push,pull,pull,push,pull,push,pull,pull,pull,push,pull,pull,push,pull,pull,pull,pull,pull,pull,push
pull,pull,pull,push,push,pull,push,pull,push,push,pull,pull,push,push,push,push,push,push,pull,push,pull,push,pull,push,pull,push,push,pull,push,push,push,push,pull,pull,pull,push,pull,push,pull,push,pull,pull,push,pull,pull,pull,pull,pull,pull,push,pull,push,pull,push,pull,pull,push,pull,push,push,push,push,push,push,push,push,push,pull,pull,pull,push,push,push,pull,push,pull,push,pull,push,pull,push,push,push,push,pull,pull,pull,push,pull,pull,push,pull,pull,pull,push,push,push,push,push,pull,pull,pull,pull,push,push,pull,pull,pull,push,push,push,push,push,pull,push,pull,pull,pull,pull,pull,push,push
pull,pull,push,push,push,push,push,pull,push,pull,push,push,push,pull,pull,pull,pull,pull,pull,push,push,push,pull,push,pull,pull,push,pull,pull,push,pull,push,push,pull,pull,push,pull,pull,pull,push,pull,push,pull,push,pull,push,push,push,push,push,pull,pull,pull,push,push,push,push,pull,pull,pull,push,pull,pull,push,pull,push,pull,pull,pull,pull,push,pull,pull,pull,pull,pull,pull,pull,pull,pull,push,push,pull,pull,pull,pull,pull,push,push,push,push,pull,pull,push,pull,push,pull,pull,pull,pull,pull,pull,pull,pull,push,push,pull,push,pull,pull,pull,pull,push,pull,pull,push,push,push,pull,pull,pull,push
pull,push,pull,push,push,pull,pull,pull,pull,push,push,push,push,pull,push,push,push,push,pull,push,pull,push,pull,pull,pull,pull,pull,pull,push,push,pull,pull,push,pull,push,pull,push,pull,push,push,push,push,pull,pull,pull,pull,pull,push,pull,pull,push,push,push,pull,pull,push,push,push,pull,push,push,push,pull,pull,push,pull,push,pull,pull,pull,push,push,push,push,push,push,push,push,pull,push,push,push,push,pull,push,push,pull,pull,push,pull,pull,push,pull,push,pull,pull,push,push,push,pull,push,push,pull,push,push,pull,push,pull,pull,push,pull,push,push,push,pull,pull,push,pull,push,push,push,pull
pull,pull,push,push,pull,push,pull,push,pull,push,push,pull,push,pull,push,pull,pull,pull,push,pull,pull,pull,pull,pull,push,push,pull,push,pull,pull,push,pull,push,pull,push,push,pull,push,pull,pull,push,pull,pull,push,pull,push,pull,pull,pull,push,push,pull,push,pull,push,push,pull,pull,pull,pull,push,pull,pull,push,pull,push,push,push,pull,pull,push,push,push,pull,push,pull,push,pull,pull,pull,push,pull,pull,pull,push,pull,pull,pull,pull,push,push,pull,push,push,pull,pull,pull,pull,push,pull,push,push,push,push,push,pull,push,pull,push,push,pull,pull,push,push,push,push,push,pull,push,push,push,push
push,push,push,pull,push,push,push,push,push,pull,pull,push,push,push,pull,pull,pull,push,push,push,pull,pull,push,push,push,pull,pull,push,pull,pull,pull,pull,push,pull,pull,pull,push,pull,push,push,push,push,pull,pull,pull,pull,pull,push,pull,pull,push,pull,push,push,pull,pull,push,push,push,push,pull,pull,push,pull,pull,push,pull,pull,push,push,pull,pull,push,push,push,pull,pull,push,pull,push,pull,pull,push,push,pull,push,push,pull,push,push,push,pull,push,pull,push,push,pull,push,pull,push,push,push,push,pull,pull,push,push,push,pull,push,pull,pull,push,push,pull,pull,pull,push,push,push,pull,push
push,pull,push,pull,push,pull,pull,pull,pull,push,pull,push,push,push,push,push,pull,push,push,pull,pull,pull,push,pull,pull,push,push,push,push,pull,push,pull,pull,push,push,push,push,push,push,pull,push,pull,push,pull,push,pull,push,push,push,pull,push,pull,push,pull,push,push,push,pull,pull,pull,pull,push,pull,push,pull,push,push,pull,pull,push,pull,push,push,push,pull,push,pull,pull,push,push,pull,push,pull,pull,pull,push,pull,pull,pull,pull,pull,pull,push,push,pull,push,push,pull,pull,pull,pull,push,push,pull,push,push,push,push,pull,pull,push,pull,pull,push,pull,push,push,push,pull,push,push,push
pull,pull,push,pull,pull,pull,pull,push,push,push,push,push,pull,push,pull,push,push,pull,pull,push,pull,push,pull,pull,push,push,pull,push,pull,pull,push,pull,pull,push,push,push,pull,push,push,pull,pull,pull,pull,pull,pull,pull,push,pull,pull,pull,pull,push,push,pull,pull,pull,pull,pull,push,push,pull,pull,pull,pull,pull,pull,pull,push,pull,pull,pull,pull,pull,pull,push,push,push,pull,pull,push,push,push,push,pull,push,push,pull,pull,push,pull,pull,push,push,push,push,pull,push,pull,push,push,pull,push,pull,pull,pull,pull,push,pull,pull,pull,push,pull,push,push,push,pull,pull,push,push,pull,pull,push
push,pull,push,pull,pull,push,push,push,push,pull,push,push,push,pull,push,pull,push,pull,push,push,push,pull,push,pull,pull,push,pull,pull,pull,pull,push,push,push,pull,pull,pull,pull,push,push,pull,push,push,pull,pull,push,push,push,push,push,push,pull,push,pull,push,pull,pull,push,pull,push,pull,pull,pull,push,push,push,push,pull,push,pull,push,pull,push,pull,pull,push,push,pull,push,push,push,pull,pull,push,push,pull,pull,push,pull,pull,push,pull,pull,push,push,pull,pull,push,pull,pull,pull,pull,pull,pull,push,push,pull,pull,pull,push,pull,pull,push,pull,pull,pull,pull,pull,push,push,pull,push,pull
